,TRAVEL_ID,LOTNO_ADDR,LODGING_TYPE_CD,VISIT_AREA_TYPE_CD,REVISIT_YN,DGSTFN,REVISIT_INTENTION,RCMDTN_INTENTION,SCORE,INCOME,TRAVEL_MOTIVE_1,TRAVEL_MOTIVE_2,TRAVEL_MOTIVE_3,TRAVEL_STYL_0,TRAVEL_STYL_1,TRAVEL_STYL_2,TRAVEL_STYL_3,TRAVEL_STYL_4,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,TRAVEL_MISSION
10516,c_c012915,충남 천안시 동남구 신부동 359-1,0.0,4,0,5.0,5.0,5.0,5.0,4.002279544091182,10.0,10.0,10.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,21;
10517,c_c012916,전남 담양군 담양읍 객사리 1,0.0,1,1,5.0,5.0,5.0,5.0,4.002279544091182,10.0,10.0,10.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1;3;9;26;
10518,c_c012916,전남 나주시 과원동 109-5,0.0,2,0,5.0,5.0,5.0,5.0,4.002279544091182,10.0,10.0,10.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1;3;9;26;
10519,c_c012916,전남 담양군 담양읍 학동리 59-14,0.0,7,1,4.0,3.0,3.0,3.3333,4.002279544091182,10.0,10.0,10.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1;3;9;26;
10521,c_c012993,전남 신안군 암태면 신석리 1717,0.0,2,0,5.0,3.0,5.0,4.3333,2.0,1.0,7.0,3.0,4.0,4.0,4.0,2.0,5.0,4.0,6.0,7.0,4.0,1;2;3;4;6;
10522,c_c012993,전남 신안군 안좌면 박지리,0.0,7,0,4.0,4.0,4.0,4.0,2.0,1.0,7.0,3.0,4.0,4.0,4.0,2.0,5.0,4.0,6.0,7.0,4.0,1;2;3;4;6;
10523,c_c012998,대전 중구 대흥동 630,0.0,4,0,4.0,3.0,4.0,3.6667,2.0,1.0,2.0,9.0,3.0,2.0,3.0,3.0,6.0,5.0,3.0,6.0,5.0,1;22;24;27;6;
10524,c_c012998,대전 중구 은행동 216,0.0,4,0,4.0,3.0,3.0,3.3333,2.0,1.0,2.0,9.0,3.0,2.0,3.0,3.0,6.0,5.0,3.0,6.0,5.0,1;22;24;27;6;
10525,c_c012999,전남 여수시 문수동 785-3,0.0,7,1,5.0,5.0,5.0,5.0,4.002279544091182,10.0,10.0,10.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2;22;24;26;
10527,c_c012999,전남 여수시 웅천동 산 274,0.0,1,0,5.0,5.0,5.0,5.0,4.002279544091182,10.0,10.0,10.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2;22;24;26;
10528,c_c013007,대전 중구 선화동 287-2,0.0,3,0,3.0,3.0,3.0,3.0,6.0,6.0,8.0,2.0,4.0,2.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,0
10529,c_c013007,대전 중구 문화동 산 18-1,0.0,1,1,4.0,4.0,4.0,4.0,6.0,6.0,8.0,2.0,4.0,2.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,0
10530,c_c013007,대전 동구 원동 51-1,0.0,4,1,5.0,5.0,5.0,5.0,6.0,6.0,8.0,2.0,4.0,2.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,0
10531,c_c013007,대전 중구 대흥동 159-1,0.0,3,1,4.0,5.0,4.0,4.3333,6.0,6.0,8.0,2.0,4.0,2.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,0
10532,c_c013007,대전 중구 대흥동 326-67,0.0,2,0,5.0,5.0,5.0,5.0,6.0,6.0,8.0,2.0,4.0,2.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,0
10533,c_c013016,전남 여수시 소라면 죽림리 116,0.0,6,1,5.0,5.0,5.0,5.0,4.002279544091182,10.0,10.0,10.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2;23;22;
10534,c_c013016,전남 여수시 소라면 죽림리 117-18,0.0,6,1,5.0,5.0,5.0,5.0,4.002279544091182,10.0,10.0,10.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2;23;22;
10535,c_c013026,전북 전주시 완산구 풍남동3가 102,0.0,2,0,4.0,4.0,4.0,4.0,4.002279544091182,10.0,10.0,10.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,11;12;13;22;23;
10536,c_c013026,전북 전주시 완산구 풍남동3가 47-2,0.0,6,1,3.0,3.0,4.0,3.3333,4.002279544091182,10.0,10.0,10.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,11;12;13;22;23;
10537,c_c013026,전북 전주시 완산구 교동 50-79,0.0,7,0,4.0,4.0,4.0,4.0,4.002279544091182,10.0,10.0,10.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,11;12;13;22;23;
10538,c_c013026,전북 전주시 완산구 대성동 320-2,0.0,2,1,4.0,4.0,3.0,3.6667,4.002279544091182,10.0,10.0,10.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,11;12;13;22;23;
10539,c_c013026,전북 전주시 완산구 대성동 318-10,0.0,7,0,5.0,5.0,5.0,5.0,4.002279544091182,10.0,10.0,10.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,11;12;13;22;23;
10540,c_c013030,전북 전주시 완산구 교동 26-3,0.0,2,0,4.0,4.0,4.0,4.0,4.002279544091182,10.0,10.0,10.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1;2;3;4;5;
10541,c_c013030,전북 전주시 완산구 전동 200-1,0.0,2,1,3.0,3.0,3.0,3.0,4.002279544091182,10.0,10.0,10.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1;2;3;4;5;
10542,c_c013030,전북 전주시 완산구 풍남동3가 64-1,0.0,7,1,4.0,4.0,4.0,4.0,4.002279544091182,10.0,10.0,10.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1;2;3;4;5;
