,TRAVEL_ID,LOTNO_ADDR,LODGING_TYPE_CD,VISIT_AREA_TYPE_CD,REVISIT_YN,DGSTFN,REVISIT_INTENTION,RCMDTN_INTENTION,SCORE,INCOME,TRAVEL_MOTIVE_1,TRAVEL_MOTIVE_2,TRAVEL_MOTIVE_3,TRAVEL_STYL_0,TRAVEL_STYL_1,TRAVEL_STYL_2,TRAVEL_STYL_3,TRAVEL_STYL_4,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,TRAVEL_MISSION
14083,c_c008037,대전 중구 은행동 145-1,0.0,11,1,5.0,5.0,5.0,5.0,2.0,1.0,7.0,8.0,3.0,3.0,3.0,3.0,6.0,4.0,5.0,6.0,6.0,21;22;27;6;7;
14084,c_c008037,대전 서구 만년동 396,0.0,3,0,4.0,3.0,4.0,3.6667,2.0,1.0,7.0,8.0,3.0,3.0,3.0,3.0,6.0,4.0,5.0,6.0,6.0,21;22;27;6;7;
14085,c_c008041,충북 청주시 청원구 오창읍 양청리 820-2,0.0,11,0,5.0,5.0,5.0,5.0,4.0,3.0,1.0,7.0,2.0,2.0,5.0,3.0,2.0,2.0,6.0,2.0,6.0,0
14086,c_c008041,충북 청주시 상당구 명암동 40,0.0,6,0,5.0,5.0,5.0,5.0,4.0,3.0,1.0,7.0,2.0,2.0,5.0,3.0,2.0,2.0,6.0,2.0,6.0,0
14087,c_c008041,충북 청주시 청원구 오창읍 양청리 753,0.0,1,0,5.0,5.0,5.0,5.0,4.0,3.0,1.0,7.0,2.0,2.0,5.0,3.0,2.0,2.0,6.0,2.0,6.0,0
14089,c_c008041,충북 청주시 상당구 명암동 87,0.0,2,0,5.0,5.0,5.0,5.0,4.0,3.0,1.0,7.0,2.0,2.0,5.0,3.0,2.0,2.0,6.0,2.0,6.0,0
14090,c_c008041,충북 청주시 상당구 명암동 87,0.0,2,0,5.0,5.0,5.0,5.0,4.0,3.0,1.0,7.0,2.0,2.0,5.0,3.0,2.0,2.0,6.0,2.0,6.0,0
14091,c_c008042,충남 공주시 금학동 270-10,0.0,11,0,4.0,5.0,5.0,4.6667,4.0,3.0,1.0,7.0,2.0,2.0,2.0,1.0,4.0,2.0,2.0,1.0,6.0,3;22;6;24;28;1;13;9;27;12;21;26;11;
14092,c_c008042,충남 공주시 반포면 온천리 352-4,0.0,11,0,4.0,5.0,5.0,4.6667,4.0,3.0,1.0,7.0,2.0,2.0,2.0,1.0,4.0,2.0,2.0,1.0,6.0,3;22;6;24;28;1;13;9;27;12;21;26;11;
14093,c_c008056,전북 고창군 상하면 자룡리 산 1-2,0.0,11,1,1.0,5.0,5.0,3.6667,4.0,2.0,8.0,3.0,6.0,6.0,6.0,6.0,4.0,6.0,2.0,6.0,7.0,0
14094,c_c008056,전북 고창군 상하면 자룡리 산 1-2,0.0,13,1,1.0,5.0,5.0,3.6667,4.0,2.0,8.0,3.0,6.0,6.0,6.0,6.0,4.0,6.0,2.0,6.0,7.0,0
14095,c_c008056,전북 고창군 상하면 자룡리 520-46,0.0,1,0,5.0,5.0,5.0,5.0,4.0,2.0,8.0,3.0,6.0,6.0,6.0,6.0,4.0,6.0,2.0,6.0,7.0,0
14096,c_c008057,충북 옥천군 옥천읍 죽향리 63-9,0.0,11,0,4.0,5.0,4.0,4.3333,2.0,2.0,1.0,10.0,2.0,1.0,7.0,2.0,3.0,2.0,2.0,2.0,6.0,3;4;
14097,c_c008057,충북 옥천군 옥천읍 교동리 313,0.0,2,0,4.0,3.0,3.0,3.3333,2.0,2.0,1.0,10.0,2.0,1.0,7.0,2.0,3.0,2.0,2.0,2.0,6.0,3;4;
14098,c_c008057,충북 옥천군 옥천읍 하계리 39,0.0,2,0,3.0,3.0,3.0,3.0,2.0,2.0,1.0,10.0,2.0,1.0,7.0,2.0,3.0,2.0,2.0,2.0,6.0,3;4;
14099,c_c008057,충북 옥천군 옥천읍 교동리 320,0.0,2,0,3.0,3.0,3.0,3.0,2.0,2.0,1.0,10.0,2.0,1.0,7.0,2.0,3.0,2.0,2.0,2.0,6.0,3;4;
14100,c_c008057,충북 옥천군 옥천읍 문정리 2-2,0.0,11,0,4.0,4.0,4.0,4.0,2.0,2.0,1.0,10.0,2.0,1.0,7.0,2.0,3.0,2.0,2.0,2.0,6.0,3;4;
14101,c_c008057,충북 옥천군 옥천읍 문정리 476,0.0,8,0,4.0,3.0,3.0,3.3333,2.0,2.0,1.0,10.0,2.0,1.0,7.0,2.0,3.0,2.0,2.0,2.0,6.0,3;4;
